Publication,Round ID,Round Desc/town,Redelivery cut off time M-F,Redelivery cut off time Sat,Redelivery cut off Sun,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D025005019,WELLINGTON RUN 19 (PAUL WITIKA,8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D025005020,WELLINGTON RUN 20 (NIME),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D025005700,WELLINGTON RUN 20 - SPROTT HOU,8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D025005705,HUNTLEIGH REST HOME,8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001001,WGTON JOHNSONVILE RUN 1 (KIM),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001002,WELLINGTON RUN 2 (VIJAY),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001003,WELLINGTON RUN 3 (JIM),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001004,WELLINGTON RUN 4 (ISI),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001005,WELLINGTON RUN 5 (FRAN),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001006,WGTON JOHNSONVILLE RUN 6 (TIM),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001007,WELLINGTON NEWLANDS R7 (GOPI),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001008,BROADMEADOWA RUN 8 (PAT),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001009,WELLINGTON RUN 9 (GRAEME),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001010,WELLINGTON RUN 10 (MARE),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
The Dominion Post,D030001011,WELLINGTON RUN 11 (VALENTIN),8:00 AM,08.30am,N/A,,,,,,,,,,,,,,,,,,,,
