,Location,Blackout Date,Nearing Black Out-Check with SD before scheduling
CA,Fair Oaks,13-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,28-Jun-15,
CA,Farmersville,None,
CA,,,
CA,Firebaugh,None,
CA,,,
CA,Fowler,None,
CA,,,
CA,Fresno,None,
CA,,,
CA,Glendale,None,
CA,,,
CA,Gustine,None,
CA,,,
CA,Hanford,None,
CA,,,
CA,Hollister,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,18-Jun-15,
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Huron,None,
CA,,,
CA,Kingsburg,None,
CA,,,
CA,Lakeport,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Lancaster,None,
CA,,,
CA,Lemore,None,
CA,,,
CA,Lindsay,None,
CA,,,
CA,Livingston,None,
CA,,,
CA,Long Beach,None,
CA,,,
CA,Los Angeles,11-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,17-Jun-15,
CA,Los Banos,None,
CA,,,
CA,Los Gatos,None,
CA,,,
CA,Madera,None,
CA,,,
CA,Maricopa,None,
CA,,,
CA,Mendota,None,
CA,,,
CA,McFarland,None,
CA,,,
CA,Merced,None,
CA,,,
CA,Modesto,13-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,28-Jun-15,
CA,Monterey,11-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,17-Jun-15,
CA,Morgan Hill,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Napa,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Oakland,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Orange Cove,None,
CA,,,
CA,Palm Dale,None,
CA,,,
CA,Palo Alto,None,
CA,,,
CA,Parlier,None,
CA,,,
CA,Pasadena,None,
CA,,,
CA,Pollock Pines,13-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,28-Jun-15,
CA,Pomona,None,
CA,,,
CA,Porterville,None,
CA,,,
CA,Reedley,None,
CA,,,
CA,Redding,13-Jun-15,"May 1, 2015 - June 30, 2015 Escalate to yellow light- one instructor available, only available on weekends"
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,28-Jun-15,
CA,Ridgecrest,None,
CA,,,
CA,Sacramento,13-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,Salinas,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,18-Jun-15,
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Sanger,None,
CA,,,
CA,San Joaquin,None,
CA,,,
CA,San Benito,11-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,17-Jun-15,
CA,Santa Clara,None,
CA,,,
CA,Santa Cruz,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,18-Jun-15,
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,San Juan Bautista,11-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,17-Jun-15,
CA,San Francisco,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,San Rafael,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,San Jose,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Santa Rosa,13-Jun-15,
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,27-Jun-15,
CA,Seaside,11-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,17-Jun-15,
CA,Selma Arvin,None,
CA,,,
CA,Shafter,None,
CA,,,
CA,Simi Valley,None,
CA,,,
CA,Sonoma,None,
CA,,,
CA,Sonora,13-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,28-Jun-15,
CA,St. Helena,13-Jun-15,
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Stockton,13-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,28-Jun-15,
CA,Taft,None,
CA,,,
CA,Tehachapi,None,
CA,,,
CA,Thousand Oaks,None,
CA,,,
CA,Torrance,None,
CA,,,
CA,Tracy,None,
CA,,,
CA,Tulare,None,
CA,,,
CA,Union City,11-Jun-15,
CA,,,
CA,,12-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,14-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,"June 17,  2015",
CA,,,
CA,,20-Jun-15,
CA,,,
CA,,23-Jun-15,
CA,,,
CA,,24-Jun-15,
CA,,,
CA,,25-Jun-15,
CA,,,
CA,,26-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,,
CA,,28-Jun-15,
CA,,,
CA,,11-Jul-15,
CA,Visalia,None,
CA,,,
CA,Wasco,None,
CA,,,
CA,Watsonville,11-Jun-15,
CA,,,
CA,,13-Jun-15,
CA,,,
CA,,17-Jun-15,
CA,West Convina,None,
CA,,,
CA,Woodlake,None,
CA,,,
CA,Woodland,13-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,28-Jun-15,
CA,Yuba,13-Jun-15,
CA,,,
CA,,15-Jun-15,
CA,,,
CA,,16-Jun-15,
CA,,,
CA,,27-Jun-15,
CA,,28-Jun-15,
CT,Entire State,,"June 20- June 25, 2015"
CT,,,
CT,Greenwich,17-Jun-15,
CT,,,
CT,,18-Jun-15,
CT,,,
CT,,24-Jun-15,
CT,,,
CT,,25-Jun-15,
CT,,,
CT,,26-Jun-15,
CT,,,
CT,,2-Jul-15,
CT,,,
CT,,9-Jul-15,
CT,,,
CT,,16-Jul-15,
CT,,,
CT,,23-Jul-15,
CT,,,
CT,,30-Jul-15,
D.C.,,20-Jun-15,
D.C.,,27-Jun-15,
DE,Entire State,20-Jun-15,
DE,,27-Jun-15,
FL,Miami,13-Jun-15,These dates are YELLOW only if they need more than 1 instructor.
FL,,,
FL,,14-Jun-15,June 7-11 2015
FL,,,
FL,,20-Jun-15,
FL,,,
FL,,26-Jun-15,
FL,,,
FL,,27-Jun-15,
FL,Broward,13-Jun-15,
FL,,,
FL,,14-Jun-15,
FL,,,
FL,,20-Jun-15,
FL,,,
FL,,26-Jun-15,
FL,,27-Jun-15,
FL,Florida Keys,13-Jun-15,
FL,,,
FL,Pensacola,13-Jun-15,
FL,,,
FL,Panama City,13-Jun-15,
FL,,,
FL,Orlando,13-Jun-15,
FL,,,
FL,,14-Jun-15,
FL,,,
FL,,15-Jun-15,
FL,,,
FL,,20-Jun-15,
FL,,,
FL,,22-Jun-15,
FL,,,
FL,,23-Jun-15,
FL,,,
FL,,24-Jun-15,
FL,,,
FL,,25-Jun-15,
FL,,,
FL,,26-Jun-15,
FL,,,
FL,,27-Jun-15,
FL,,,
FL,,29-Jun-15,
FL,,,
FL,,30-Jun-15,
FL,,,
FL,,2-Jul-15,
FL,Osceola,None,
FL,,,
FL,Seminole,None,
FL,,,
FL,Belleair,None,
FL,,,
FL,Clearwater,None,
FL,,,
FL,Largo,None,
FL,,,
FL,Redington,None,
FL,,,
FL,St. Petersburg,None,
FL,,,
FL,Pasadena,None,
FL,,,
FL,Tampa,13-Jun-15,These dates are YELLOW only if they need more than 1 instructor.
FL,,,
FL,,17-Jun-15,"June 7-13, 2015"
FL,,,
FL,,20-Jun-15,
FL,,,
FL,,24-Jun-15,
FL,,,
FL,,25-Jun-15,
FL,,,
FL,,26-Jun-15,
FL,,,
FL,,27-Jun-15,
FL,,,
FL,,29-Jun-15,
FL,Sarasota,None,
FL,,,
FL,Bradenton,None,
FL,,,
FL,Punta Gorda,None,
FL,,,
FL,Fort Meyers,None,
FL,,,
